idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
211,Hydronephrosis,"['Side pain', 'Sharp abdominal pain', 'Back pain', 'Nausea', 'Vomiting', 'Blood in urine', 'Suprapubic pain', 'Symptoms of the kidneys', 'Lower abdominal pain', 'Lower body pain', 'Pain in testicles', 'Symptoms of bladder']","Hydronephrosis \xe2\x80\x94 literally ""water inside the kidney"" \xe2\x80\x94 refers to distension and dilation of the renal pelvis and calyces, usually caused by obstruction of the free flow of urine from the kidney. Untreated, it leads to progressive atrophy of the kidney. In cases of hydroureteronephrosis, there is distention of both the ureter and the renal pelvis and calices. ","['Radiographic imaging procedure', 'Urinalysis', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)']","['Iohexol (Omnipaque)', 'Opium', 'Meropenem', 'Ephedrine (Kie)', 'Desflurane', 'Isosorbide Dinitrate', 'Chondroitin', 'Prazosin', 'Erlotinib (Tarceva)', 'Pancrelipase (Pancrease)', 'Potassium Citrate']",disease
212,Diverticulosis,"['Sharp abdominal pain', 'Rectal bleeding', 'Constipation', 'Diarrhea', 'Blood in stool', 'Burning abdominal pain', 'Nausea', 'Vomiting', 'Lower abdominal pain', 'Melena', 'Upper abdominal pain', 'Heartburn']","Diverticulosis, also known as ""diverticular disease"", is the condition of having diverticula in the colon, which are outpocketings of the colonic mucosa and submucosa through weaknesses of muscle layers in the colon wall. These are more common in the sigmoid colon, which is a common place for increased pressure. This is uncommon before the age of 40, and increases in incidence after that age. ","['Sigmoidoscopy or colonoscopy', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Colonoscopy and biopsy', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Intravenous fluid replacement']","['Midazolam (Versed)', 'Fentanyl', 'Meperidine (Demerol)', 'Metronidazole', 'Propofol', 'Psyllium', 'Diatrizoate', 'Lubiprostone (Amitiza)', 'Barium Sulfate', 'Methylcellulose (Citrucel)']",disease
213,Pain after an operation,"['Sharp abdominal pain', 'Back pain', 'Sharp chest pain', 'Headache', 'Nausea', 'Vomiting', 'Low back pain', 'Toothache', 'Leg pain', 'Neck pain', 'Side pain', 'Lower abdominal pain']","Pain is an unpleasant feeling often caused by intense or damaging stimuli, such as stubbing a toe, burning a finger, putting alcohol on a cut, and bumping the ""funny bone"". The International Association for the Study of Pain\'s widely used definition states: ""Pain is an unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage."" ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Plain x-ray (X ray)', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)', 'Urinalysis']","['Orphenadrine (Flexon)', 'Butorphanol (Stadol)', 'Dimenhydrinate (Dramamine)', 'Chlorzoxazone', 'Lipase', 'Methotrimeprazine', 'Lyme Disease Vaccine', 'Isoxsuprine']",disease
214,Huntington disease,"['Constipation', 'Problems with movement', 'Depression', 'Anxiety and nervousness', 'Back pain', 'Loss of sensation', 'Sharp abdominal pain', 'Drug abuse', 'Symptoms of the face', 'Elbow weakness', 'Low back weakness', 'Excessive growth']","Huntington\'s disease (HD) is a neurodegenerative genetic disorder that affects muscle coordination and leads to cognitive decline and psychiatric problems. It typically becomes noticeable in mid-adult life. HD is the most common genetic cause of abnormal involuntary writhing movements called chorea, which is why the disease used to be called Huntington\'s chorea. ","['CAT scan of head (Head ct)', 'X-ray computed tomography (Scan ct)', 'Depression screen (Depression screening)', 'Magnetic resonance imaging (Mri)', 'Mental health counseling', 'Prothrombin time assay (Prothrombin time)', 'Corneal transplant']","['Quetiapine (Seroquel)', 'Memantine (Namenda)', 'Risperidone', 'Sertraline (Zoloft)', 'Tetrabenazine', 'Rivastigmine (Exelon)', 'Atomoxetine (Strattera)', 'Tizanidine', 'Lactulose', 'Donepezil (Aricept)', 'Mirtazapine']",disease
215,West Nile virus,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","West Nile virus (WNV) is a mosquito-borne zoonotic arbovirus belonging to the genus Flavivirus in the family Flaviviridae. This flavivirus is found in temperate and tropical regions of the world. It was first identified in the West Nile subregion in the East African nation of Uganda in 1937. Prior to the mid-1990s, WNV disease occurred only sporadically and was considered a minor risk for humans, until an outbreak in Algeria in 1994, with cases of WNV-caused encephalitis, and the first large outbreak in Romania in 1996, with a high number of cases with neuroinvasive disease. WNV has now spread globally, with the first case in the Western Hemisphere being identified in New York City in 1999; over the next 5 years, the virus spread across the continental United States, north into Canada, and southward into the Caribbean Islands and Latin America. WNV also spread to Europe, beyond the Mediterranean Basin . WNV is now considered to be an endemic pathogen in Africa, Asia, Australia, the Middle East, Europe and in the United States, which in 2012 has experienced one of its worst epidemics. In 2012, WNV killed 286 people in the United States, with the state of Texas being hard hit by this virus, making the year the deadliest on record for the United States. ","['Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)', 'Bone marrow transplant (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",disease
216,Lymphoma,"['Fatigue', 'Neck mass', 'Regurgitation', 'Hoarse voice', 'Muscle pain', 'Mouth pain', 'Symptoms of the kidneys', 'Groin mass', 'Mouth ulcer', 'Stiffness all over', 'Shoulder lump or mass', 'Itchy ear(s)']","Lymphoma is a type of blood cancer that occurs when B or T lymphocytes, the white blood cells that form a part of the immune system and help protect the body from infection and disease, divide faster than normal cells or live longer than they are supposed to. Lymphoma may develop in the lymph nodes, spleen, bone marrow, blood or other organs and eventually they form a tumor. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Complete physical skin exam performed (ML)', 'Electrolytes panel', 'X-ray computed tomography (Scan ct)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Rituximab', 'Doxorubicin', 'Cyclophosphamide', 'Vincristine', 'Dexamethasone', 'Pegfilgrastim (Neulasta)', 'Filgrastim (Neupogen)', 'Palonosetron (Aloxi)', 'Acyclovir', 'Vinblastine', 'Darbepoetin Alfa (Aranesp)', 'Bleomycin']",disease
217,Dermatitis due to sun exposure,"['Abnormal appearing skin', 'Skin lesion', 'Skin rash', 'Skin moles', 'Skin dryness, peeling, scaliness, or roughness', 'Irregular appearing scalp', 'Acne or pimples', 'Skin growth', 'Skin swelling', 'Symptoms of the face', 'Itchy scalp', 'Lack of growth']"," mupirocin topical, ","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Excision of skin lesion', 'Biopsy', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Wound care management', 'Other therapeutic procedures']","['Mupirocin Topical', 'Imiquimod Topical', 'Clobetasol Topical', 'Tretinoin Topical', 'Metronidazole Topical Product', 'Fluorouracil Topical', 'Silver Sulfadiazine Topical', 'Terbinafine Topical', 'Tacrolimus Topical Product', 'Desoximetasone Topical', 'Salicylic Acid Topical']",medication
218,Anemia due to chronic kidney disease,"['Fatigue', 'Weakness', 'Shortness of breath', 'Peripheral edema', 'Ankle swelling', 'Recent weight loss', 'Polyuria', 'Feeling cold', 'Symptoms of the kidneys', 'Melena']"," furosemide, ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Urinalysis', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Lipid panel']","['Darbepoetin Alfa (Aranesp)', 'Furosemide', 'Epoetin Alfa (Procrit)', 'Allopurinol', 'Digoxin', 'Ergocalciferol', 'Hydralazine', 'Isosorbide', 'Ferric Oxide, Saccharated (Venofer)', 'Sodium Bicarbonate', 'Calcitriol', 'Paricalcitol (Zemplar)']",medication
219,Injury to internal organ,"['Sharp abdominal pain', 'Side pain', 'Sharp chest pain', 'Rib pain', 'Ache all over', 'Back pain', 'Blood in urine', 'Retention of urine', 'Pain of the anus', 'Hurts to breath', 'Lymphedema', 'Frequent urination']"," vecuronium, ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Plain x-ray (X ray)', 'Urinalysis', 'Intravenous fluid replacement']","['Cefoxitin', 'Vecuronium', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Sucralfate (Carafate)', 'Silodosin (Rapaflo)', 'Barium Sulfate', 'Rabies Vaccine (Obsolete)', 'Lactic Acid Topical', 'Sevelamer (Renvela)', 'Alfuzosin (Uroxatral)']",medication
220,Scleritis,"['Pain in eye', 'Eye redness', 'Headache', 'Lacrimation', 'Spots or clouds in vision', 'Cloudy eye', 'Symptoms of eye', 'Vaginal itching', 'Pain during pregnancy', 'Abnormal appearing skin', 'Foreign body sensation in eye', 'Abnormal involuntary movements']","Scleritis is a serious inflammatory disease that affects the white outer coating of the eye, known as the sclera. The disease is often contracted through association with other diseases of the body, such as Wegener\'s granulomatosis or rheumatoid arthritis; it can also be attained through disorders of menstruation. For this reason, scleritis occurs frequently among young women. There are three types of scleritis: diffuse scleritis (the most common), nodular scleritis, and necrotizing scleritis (the most severe). Scleritis may be the first symptom of onset of connective tissue disease. ","['Ophthalmic examination and evaluation (Eye exam)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent', 'Diagnostic endocrine procedures', 'CT scan chest (Ct chest)']","['Prednisolone Ophthalmic', 'Timolol', 'Loteprednol-Tobramycin Ophthalmic', 'Prednisolone-Sodium Sulfacetamide Ophthalmic', 'Fluorometholone Ophthalmic', 'Nepafenac Ophthalmic', 'Fluorescein Ophthalmic', 'Brimonidine Ophthalmic', 'Tropicamide Ophthalmic', 'Erythromycin Topical Product', 'Benoxinate-Fluorescein Ophthalmic']",disease
221,Pterygium,"['Pain in eye', 'Symptoms of eye', 'Eye redness', 'Diminished vision', 'Itchiness of eye', 'Lacrimation', 'Foreign body sensation in eye', 'Eye burns or stings', 'Spots or clouds in vision', 'Eyelid swelling', 'Acne or pimples', 'Irregular appearing scalp']","Pterygium refers to any winglike triangular membrane occurring in the neck, eyes, knees, elbows, ankles or digits. ","['Excision (Removal)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Ophthalmologic and otologic diagnosis and treatment', 'Other extraocular muscle and orbit therapeutic procedures', 'Lens and cataract procedures']","['Moxifloxacin (Avelox)', 'Prednisolone Ophthalmic', 'Loteprednol-Tobramycin Ophthalmic', 'Ocular Lubricant', 'Bimatoprost Ophthalmic', 'Fluorometholone Ophthalmic', 'Loteprednol Ophthalmic', 'Dexamethasone-Tobramycin Ophthalmic', 'Gatifloxacin (Zymar)', 'Timolol', 'Ofloxacin', 'Portia']",disease
222,Fungal infection of the skin,"['Skin rash', 'Itching of skin', 'Abnormal appearing skin', 'Skin lesion', 'Irregular appearing scalp', 'Skin swelling', 'Too little hair', 'Skin dryness, peeling, scaliness, or roughness', 'Itchy scalp', 'Dry or flaky scalp', 'Acne or pimples', 'Irregular appearing nails']",A dermatomycosis is a skin disease caused by a fungus. ,"['Complete physical skin exam performed (ML)', 'Microscopic examination (bacterial smear; culture; toxicology)', 'Excision (Removal)', 'Chlamydia test', 'Excision of skin lesion', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Other non-OR therapeutic procedures on skin and breast']","['Clotrimazole Topical', 'Ketoconazole', 'Griseofulvin', 'Terbinafine Topical', 'Betamethasone-Clotrimazole Topical', 'Selenium Sulfide Topical', 'Fluconazole (Diflucan)', 'Nystatin Topical Product', 'Econazole Topical', 'Miconazole Topical Product', 'Ciclopirox Topical', 'Terbinafine (Lamisil)']",symptom
223,Insulin overdose,"['Diarrhea', 'Weakness', 'Depressive or psychotic symptoms', 'Wrist weakness', 'Underweight', 'Elbow weakness', 'Nailbiting', 'Emotional symptoms', 'Feeling hot and cold', 'Low back weakness', 'Elbow cramps or spasms', 'Excessive growth']"," glucose, ","['Intravenous fluid replacement', 'Glucose measurement (Glucose level)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Electrocardiogram']","['Charcoal', 'Glucose', 'Exenatide (Byetta)', 'Haloperidol', 'Estrogens, Conjugated (Usp) (Premarin)', 'Heparin', 'Dexamethasone Topical Product', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",medication
224,Syndrome of inappropriate secretion of ADH (SIADH),"['Dizziness', 'Shoulder pain', 'Neck pain', 'Headache', 'Fever', 'Nausea', 'Weakness', 'Feeling ill', 'Shoulder swelling', 'Vulvar sore', 'Eye strain', 'Cross-eyed']","A condition of HYPONATREMIA and renal salt loss attributed to overexpansion of BODY FLUIDS resulting from sustained release of ANTIDIURETIC HORMONES which stimulates renal resorption of water. It is characterized by normal KIDNEY function, high urine OSMOLALITY, low serum osmolality, and neurological dysfunction. Etiologies include ADH-producing neoplasms, injuries or diseases involving the HYPOTHALAMUS, the PITUITARY GLAND, and the LUNG. This syndrome can also be drug-induced. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Glucose measurement (Glucose level)', 'Urinalysis', 'Plain x-ray (X ray)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Buspirone (Buspar)', 'Insulin, Aspart, Human (Novolog)', 'Meclizine', 'Meperidine (Demerol)', 'Rosuvastatin (Crestor)', 'Valsartan (Diovan)', 'Carvedilol', 'Insulin', 'Ceftriaxone', 'Esomeprazole (Nexium)', 'Air']",test
225,Foreign body in the ear,"['Ear pain', 'Diminished hearing', 'Bleeding from ear', 'Fluid in ear', 'Throat feels tight', 'Skin irritation', 'Irregular appearing scalp', 'Throat irritation', 'Hysterical behavior']"," hydrogen peroxide topical, ","['Nonoperative removal of foreign body', 'Wound care management', 'Other therapeutic ear procedures']","['Ofloxacin', 'Hydrogen Peroxide Topical', 'Ketamine', 'Benzocaine Topical', 'Carbamide Peroxide Otic', 'Tetracaine Topical Product', 'Varicella-Zoster Immune Globulin', 'Prednisolone-Sodium Sulfacetamide Ophthalmic', 'Azelaic Acid Topical']",medication
226,Premenstrual tension syndrome,"['Premenstrual tension or irritability', 'Headache', 'Unpredictable menstruation', 'Back pain', 'Long menstrual periods', 'Depressive or psychotic symptoms', 'Painful menstruation', 'Vomiting', 'Burning abdominal pain', 'Heavy menstrual flow', 'Lower abdominal pain', 'Pelvic pain']","Premenstrual syndrome (PMS) (Also known as Perimenstrual syndrome, due to symptoms appearing both before and after menses) is a collection of emotional symptoms, with or without physical symptoms, related to a woman\'s menstrual cycle. While most women of child-bearing age (up to 85%) report having experienced physical symptoms related to normal ovulatory function, such as bloating or breast tenderness, medical definitions of PMS are limited to a consistent pattern of emotional and physical symptoms occurring only during the luteal phase of the menstrual cycle that are of ""sufficient severity to interfere with some aspects of life"". In particular, emotional symptoms must be present consistently to diagnose PMS. The specific emotional and physical symptoms attributable to PMS vary from woman to woman, but each individual woman\'s pattern of symptoms is predictable, occurs consistently during the ten days prior to menses, and vanishes either shortly before or shortly after the start of menstrual flow. ","['Pelvis exam', 'Examination of breast', 'Complete physical skin exam performed (ML)', 'Pap smear', 'Depression screen (Depression screening)', 'Lipid panel', 'Mammography (Mammogram)']","['Fluoxetine (Prozac)', 'Citalopram (Celexa)', 'Ortho Cyclen', 'Rizatriptan (Maxalt)', 'Portia', 'Frovatriptan (Frova)', 'Progesterone', 'Tamoxifen', 'Nortriptyline', 'Metaxalone (Skelaxin)']",disease
227,Orbital cellulitis,"['Swollen eye', 'Eye redness', 'Pain in eye', 'Fever', 'Symptoms of eye', 'Eyelid swelling', 'Peripheral edema', 'Neck swelling', 'Itching of skin', 'Diminished vision', 'Diminished hearing', 'Facial pain']","Orbital cellulitis is an inflammation of eye tissues posterior to the orbital septum. It most commonly refers to an acute spread of infection into the eye socket from either the adjacent sinuses or through the blood. When it affects the rear of the eye, it is known as retro-orbital cellulitis. ","['Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Glucose measurement (Glucose level)', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'CAT scan of head (Head ct)']","['Augmentin', 'Clindamycin', 'Ciprofloxacin Ophthalmic', 'Cefuroxime', 'Erythromycin', 'Vancomycin', 'Cefdinir', 'Cefazolin', 'Urea', 'Oxytetracycline (300 Pro La)', 'Polymyxin B Ophthalmic']",disease
228,Injury to the leg,"['Knee pain', 'Foot or toe pain', 'Ankle pain', 'Leg pain', 'Knee swelling', 'Foot or toe swelling', 'Ankle swelling', 'Problems with movement', 'Leg swelling', 'Knee stiffness or tightness', 'Irregular appearing nails', 'Infant feeding problem']",General or unspecified injuries involving the leg. ,"['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Magnetic resonance imaging (Mri)', 'Physical therapy exercises (Exercises)', 'Examination of foot']","['Collagenase Topical', 'Amikacin', 'Fenoprofen (Progesic)', 'Rabies Immune Globulin, Human', 'Fondaparinux (Arixtra)']",disease
229,Hepatic encephalopathy,"['Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Shortness of breath', 'Peripheral edema', 'Fainting', 'Weakness', 'Fatigue', 'Drug abuse', 'Problems with movement', 'Seizures', 'Abusing alcohol', 'Fluid retention']","Hepatic encephalopathy (also known as portosystemic encephalopathy) is the occurrence of confusion, altered level of consciousness, and coma as a result of liver failure. In the advanced stages it is called hepatic coma or coma hepaticum. It may ultimately lead to death. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Lactulose', 'Spironolactone', 'Naloxone (Suboxone)', 'Propranolol', 'Levocarnitine', 'Neomycin (Septa)', 'Vitamin A', 'Zinc Sulfate', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Zosyn', 'Thiamine', 'Haloperidol']",disease
230,Bone cancer,"['Low back pain', 'Ache all over', 'Back pain', 'Leg pain', 'Fatigue', 'Peripheral edema', 'Rib pain', 'Problems with movement', 'Joint pain', 'Arm lump or mass', 'Muscle pain', 'Gum pain']","A bone tumor, (also spelled bone tumour), is a neoplastic growth of tissue in bone. Abnormal growths found in the bone can be either benign (noncancerous) or malignant (cancerous). ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Glucose measurement (Glucose level)', 'X-ray computed tomography (Scan ct)', 'Magnetic resonance imaging (Mri)', 'Excision (Removal)']","['Bactrim', 'Oxycodone', 'Fluconazole (Diflucan)', 'Zoledronic Acid (Reclast)', 'Sennosides, Usp (Perdiem)', 'Mesna', 'Cyclophosphamide', 'Ifosfamide (Ifex)', 'Filgrastim (Neupogen)', 'Gemcitabine (Gemzar)', 'Carboplatin', 'Paclitaxel (Taxol)']",disease
231,Leishmaniasis,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","Leishmaniasis is a disease caused by protozoan parasites that belong to the genus Leishmania and is transmitted by the bite of certain species of sand fly (subfamily Phlebotominae). Although the majority of the literature mentions only one genus transmitting Leishmania to humans (Lutzomyia) in the US, a 2003 study by Galati suggested a new classification for American sand flies, elevating several subgenera to the genus level. Elsewhere in the world, the genus Phlebotomus is considered the vector of leishmaniasis. ","['Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)', 'Bone marrow transplant (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",disease
232,Chagas disease,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","Chagas disease (/\xcb\x88\xca\x83\xc9\x91\xcb\x90\xc9\xa1\xc9\x99s/; Portuguese: doen\xc3\xa7a de Chagas , Spanish: enfermedad de Chagas , also known as mal de Chagas in both languages; also called American trypanosomiasis) is a tropical parasitic disease caused by the flagellate protozoan Trypanosoma cruzi. T. cruzi is commonly transmitted to humans and other mammals by an insect vector, the blood-sucking ""kissing bugs"" of the subfamily Triatominae (family Reduviidae), most commonly from species belonging to the Triatoma, Rhodnius, and Panstrongylus genera. ","['Plain x-ray (X ray)', 'Radiographic imaging procedure', 'Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)']","['Bactrim', 'Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical']",disease
233,Syringomyelia,"['Back pain', 'Shoulder pain', 'Headache', 'Neck pain', 'Side pain', 'Leg weakness', 'Hand or finger swelling', 'Fainting', 'Pain or soreness of breast', 'Foot or toe pain', 'Shoulder swelling', 'Arm stiffness or tightness']","Syringomyelia /s\xc9\xaa\xcb\x8cr\xc9\xaa\xc5\x8b\xc9\xa1\xc9\xb5ma\xc9\xaa\xcb\x88i\xcb\x90li\xc9\x99/ is a generic term referring to a disorder in which a cyst or cavity forms within the spinal cord. This cyst, called a syrinx, can expand and elongate over time, destroying the spinal cord. The damage may result in pain, paralysis, weakness, and stiffness in the back, shoulders, and extremities. Syringomyelia may also cause a loss of the ability to feel extremes of hot or cold, especially in the hands. The disorder generally leads to a cape-like loss of pain and temperature sensation along the back and arms. Each patient experiences a different combination of symptoms. These symptoms typically vary depending on the extent and, often more critically, to the location of the syrinx within the spinal cord. ","['Radiographic imaging procedure', 'Magnetic resonance imaging (Mri)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Liver function tests (Liver test)', 'Pelvis exam', 'Cardiac enzymes measurement (Cardiac enzymes test)']","['Gabapentin', 'Cetirizine (Zyrtec)', 'Pimecrolimus Topical', 'Triamterene', 'Petrolatum Topical', 'Tretinoin Topical', 'Nabumetone', 'Bisacodyl (The Magic Bullet)', 'Sennosides, Usp (Perdiem)', 'Zosyn', 'Quinapril', 'Methocarbamol']",symptom
234,Pulmonary fibrosis,"['Shortness of breath', 'Cough', 'Sharp chest pain', 'Difficulty breathing', 'Fever', 'Fainting', 'Coughing up sputum', 'Itchiness of eye', 'Chest tightness', 'Hemoptysis', 'Hurts to breath', 'Palpitations']","Pulmonary fibrosis is the formation or development of excess fibrous connective tissue (fibrosis) in the lungs. It is also described as ""scarring of the lung"". ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Plain x-ray (X ray)', 'Complete blood count (Cbc)', 'Electrocardiogram', 'X-ray computed tomography (Scan ct)', 'Cardiac enzymes measurement (Cardiac enzymes test)']","['Prednisone', 'Tiotropium (Spiriva)', 'Oxygen', 'Mycophenolate Mofetil (Cellcept)', 'Acetylcysteine', 'Raloxifene (Evista)', 'Pramipexole (Mirapex)', 'Azathioprine', 'Bosentan (Tracleer)', 'Isoniazid', 'Etanercept (Enbrel)', 'Darifenacin (Enablex)']",disease
235,Mitral valve disease,"['Sharp chest pain', 'Palpitations', 'Shortness of breath', 'Fatigue', 'Dizziness', 'Chest tightness', 'Increased heart rate', 'Irregular heartbeat', 'Weight gain', 'Sweating', 'Drainage in throat', 'Nightmares']","Mitral regurgitation (MR), mitral insufficiency or mitral incompetence is a disorder of the heart in which the mitral valve does not close properly when the heart pumps out blood. It is the abnormal leaking of blood from the left ventricle, through the mitral valve, and into the left atrium, when the left ventricle contracts, i.e. there is regurgitation of blood back into the left atrium. MR is the most common form of valvular heart disease. ","['Radiographic imaging procedure', 'Electrocardiogram', 'Ultrasonography (Ultrasound)', 'Echocardiography', 'Lipid panel', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Cardiac stress tests']","['Warfarin', 'Carvedilol', 'Digoxin', 'Spironolactone', 'Amiodarone', 'Risedronate (Actonel)', 'Metolazone', 'Sotalol', 'Torsemide', 'Thyroid (Usp) (Armour Thyroid)', 'Chondroitin-Glucosamine']",disease
236,Parkinson disease,"['Abnormal involuntary movements', 'Problems with movement', 'Disturbance of memory', 'Dizziness', 'Weakness', 'Stiffness all over', 'Leg weakness', 'Focal weakness', 'Muscle stiffness or tightness', 'Difficulty speaking', 'Leg stiffness or tightness', 'Fears and phobias']","Parkinson\'s disease (PD also known as idiopathic or primary parkinsonism, hypokinetic rigid syndrome/HRS, or paralysis agitans) is a degenerative disorder of the central nervous system. The motor symptoms of Parkinson\'s disease result from the death of dopamine-generating cells in the substantia nigra, a region of the midbrain; the cause of this cell death is unknown. Early in the course of the disease, the most obvious symptoms are movement-related; these include shaking, rigidity, slowness of movement and difficulty with walking and gait. Later, thinking and behavioral problems may arise, with dementia commonly occurring in the advanced stages of the disease, whereas depression is the most common psychiatric symptom. Other symptoms include sensory, sleep and emotional problems. Parkinson\'s disease is more common in the elderly, with most cases occurring after the age of 50. ","['Other diagnostic procedures (interview; evaluation; consultation)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Depression screen (Depression screening)', 'Occupational therapy assessment (Speech therapy)', 'Prostate specific antigen measurement (Prostate specific antigen test)', 'Referral to home health care service']","['Ropinirole', 'Pramipexole (Mirapex)', 'Amantadine', 'Donepezil (Aricept)', 'Rasagiline (Azilect)', 'Carbidopa', 'Entacapone (Comtan)', 'Memantine (Namenda)', 'Selegiline', 'Trihexyphenidyl (Artane)']",symptom
